원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께,경사 스트레치 강도,위사 스트레치 강도,바이어스 스트레치 강도
WOVEN,Outer,"ACETATE 60%, POLYESTER 40%",,,,,D0807,26.97,0.69,"[['5', '0.047'], ['10', '0.112'], ['15', '0.187'], ['20', '0.292'], ['30', '0.612'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.062'], ['10', '0.127'], ['15', '0.237'], ['20', '0.37'], ['30', '0.85'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.008'], ['10', '0.014'], ['15', '0.026'], ['20', '0.04'], ['30', '0.09'], ['40', '0.168'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,N20D(400T),,PLAIN,,SFT-WKL-001-024,4.04,0.09,"[['5', '0.75'], ['10', '11.67'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2.046'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.242'], ['10', '0.383'], ['15', '0.527'], ['20', '0.726'], ['25', '0.984'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"ACETATE 67%, POLYESTER 33%",,,,,578227,34.798,0.74,"[['5', '0.067'], ['10', '0.24'], ['15', '0.64'], ['20', '1.65'], ['23', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.31'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.015'], ['30', '0.09'], ['40', '0.3'], ['50', '0.75'], ['60', '1.78'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer," POLYESTER 59%, NYLON 41%",,,,"W/R, HYPER-CHINTZ(친즈가공)",KKB-1130HZ,4.495,0.06,"[['4', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.42'], ['10', '1.36'], ['14.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.022'], ['10', '0.03'], ['15', '0.046'], ['20', '0.07'], ['30', '0.18'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"F: POLYESTER 100%, B: POLYESTER 62%, COTTON 33%, POLYURETHANE 5%",,,,3 LAYER BREATHABLE,INOSPO/HYDRO3L01151,37.374,1.05,"[['5', '0.34'], ['10', '0.95'], ['15', '1.85'], ['17', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.77'], ['9', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.11'], ['10', '0.25'], ['15', '0.356'], ['20', '0.47'], ['30', '0.78'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"CUPRA 49%, COTTON 48%, POLYURETHANE 3%",,,,,SJ-1056,14.444,0.33,"[['5', '0.028'], ['10', '0.06'], ['15', '0.097'], ['20', '0.134'], ['30', '0.223'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.143'], ['10', '0.143'], ['14', '2.046'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.009'], ['10', '0.02'], ['15', '0.035'], ['20', '0.055'], ['30', '0.107'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,LYOCELL 100%,,,,,SJ-470/A,21.01,0.45,"[['5', '0.184'], ['10', '0.62'], ['15', '1.78'], ['17', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.127'], ['10', '1.1'], ['13', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.003'], ['10', '0.009'], ['15', '0.02'], ['20', '0.048'], ['30', '0.145'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 48%, COTTON 40%, NYLON 12%",,,,PIGMENT VINTAGE,GG093PGBW,16.364,0.33,"[['5', '0.86'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.05'], ['8.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.156'], ['10', '0.39'], ['15', '0.66'], ['20', '0.95'], ['30', '1.77'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 57%, COTTON 29%, NYLON 14%",,,,PD/WR,J-C4016,20.455,0.4,"[['5', '0.77'], ['10', '1.87'], ['10.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.98'], ['8', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.072'], ['10', '0.17'], ['15', '0.35'], ['20', '0.59'], ['30', '1.4'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 86%, COTTON 14%",,,,"PD,WR, SINGEING",S-C3018,17.222,0.35,"[['4.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.42'], ['10', '1.598'], ['13', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.089'], ['10', '0.183'], ['15', '0.33'], ['20', '0.65'], ['30', '1.75'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,DOWNPROOF (IDFL20-1)& DULL,KP-218KP(XP),3.737,0.07,"[['5', '0.533'], ['10', '1.429'], ['15', '19.91'], ['12', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.9'], ['6.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.022'], ['10', '0.034'], ['15', '0.056'], ['20', '0.083'], ['30', '0.191'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,"X-PROOF (DOWNPROOF, EN12132-1)& DULL FACE",PAPI-7604XP,3.889,0.08,"[['5', '0.66'], ['10', '1.44'], ['8.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.99'], ['6', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.07'], ['10', '0.133'], ['15', '0.182'], ['20', '0.27'], ['30', '0.56'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,,ATTIVO-703,5.152,0.07,"[['5', '1.91'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.07'], ['10', '0.139'], ['15', '0.23'], ['20', '0.34'], ['30', '0.66'], ['0', '0'], ['0', '0'], ['0', '0']]"
