원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Top,CM 32/1 NC 118 [100%] ,,,,,TN-715,13.99,0.51
KNIT,Top,CM 32/1 NC #158 [30%] + CM 32/1 NC #136 [35%] + CM 32/1 NC #118 [35%],,,,,TN-883,24.141,0.8
KNIT,Top,CM 32/1 ML DC005 [100%] ,,,,,TN-732,14.394,0.52
KNIT,Top,R/MICRO A(70/30) MVS[100%] ,R/MICRO A(70/30) MVS 30'S/1[100%] ,,,,TN-604,15.152,0.48
KNIT,Top,"R/MICRO A(70/30) MVS[50%], RAYON MVS[50%]",R/MICRO A(70/30) MVS 30'S/1[50%]+RAYON MVS 30'S/1[50%],,,,TN-606,15.303,0.46
KNIT,Top,"R/MICRO A(70/30) MVS[96.4], BSY[3.6%]",R/MICRO A(70/30) MVS 30'S/1[96.4]+BSY20D[3.6%],,,,TN-610,21.414,0.56
KNIT,Top,"R/MICRO A(70/30) MVS[97.25], BSY[2.75%]",R/MICRO A(70/30) MVS 30'S/1[97.25]+BSY30D[2.75%],,,,TN-608,26.667,0.73
KNIT,Outer,"T/MICRO A(70/30)/POLYESTER(402 T/M)[57.64%], POLYESTER[23.23%], CM[19.13%]",T/MICRO A(70/30)30'S/1/P30'S/1 (402 T/M)[57.64%]+P30'S/1[23.23%]+CM16'S/1[19.13%],,,,TN-856,32.879,0.94
KNIT,Top,T/A(70/30)[100%] ,T/A(70/30) 30'S/1[100%] ,,,,TN-537,26.919,0.73
KNIT,Outer,"T/C(65/35) (MELANISM 15%) MVS[82.87%], T/MICRO(70/30)[17.13%]",T/C(65/35) (MELANISM 15%) MVS 20'S/1[82.87%]+T/MICRO A(70/30) 20'S/1[17.13%],,,,TN-620,34.949,1.13
KNIT,Top,"A/T(50/50) (MICRO ACRYL 50%, O-TYPE 50%) MVS[75.53%], POLYESTER[24.47%]","A/T(50/50) (MICRO ACRYL 50%, O-TYPE 50%) MVS 40'S/1[75.53%]+P150D/144F/1 DTY[24.47%]",,,,TN-858,24.545,0.76
KNIT,Outer,"POLYESTER(MICRO 70%, FT 30%) MVS[61.98%], CM[38.02%]","P(MICRO 70%, FT 30%) MVS 30'S/1[61.98%]+CM10'S/1[38.02%]",,,,TN-823,29.798,1.11
KNIT,Outer,"R/T(70/30) (FT 30%) MVS[63.2%], CVC(60/40)[36.8%]",R/T(70/30) (FT 30%) MVS 30'S/1[63.2%]+CVC(60/40) 10'S/1[36.8%],,,,TN-826,32.374,1.17
KNIT,Top,"RAYON MVS[50.6%], R/T(70/30) (FT 30%) MVS[49.4%]",R MVS 30'S/1[50.6%]+R/T(70/30) (FT 30%) MVS 30'S/1[49.4%],,,,TN-622,29.444,0.92
KNIT,Top,"POLYESTER(FT 30%) MVS[74.89%], T/C(65/35) MVS[25.11%]",P(FT 30%) MVS 30'S/1[74.89%]+T/C(65/35) MVS 30'S/1[25.11%],,,,TN-953,24.646,0.81
KNIT,Outer,"T/A(70/30) MVS[51.56%], POLYESTER(FT 30%) MVS[38.48%], POLYESTER[9.96%]",T/A(70/30) MVS 30'S/1[51.56%]+P(FT 30%) MVS 16'S/1[38.48%]+P50D/36F/1 DTY[9.96%],,,,TN-615,26.162,0.95
KNIT,Top,"R/T(50/50) (O-TYPE 50%) MVS[94.74%], BSY[5.26%]",R/T(50/50) (O-TYPE 50%) MVS 40'S/1[94.74%]+BSY20D[5.26%],,,,TN-546,17.071,0.49
KNIT,Top,R/T 40/1 (50/50) (O-TYPE 50%) MVS + PE 40/1 MVS + R/T 26/1 (50/50) (O-TYPE 50%) MVS,,,,,TN-853,24.747,0.82
KNIT,Top,R/T(50/50) (O-TYPE 50%) MVS[100%] ,R/T(50/50) (O-TYPE 50%) MVS 26'S/1[100%] ,,,,TN-906,22.98,0.8
KNIT,Top,"R/T(50/50) (O-TYPE 50%) MVS[73.13%], CM[26.87%]",R/T 40/1 (50/50) (O-TYPE 50%) MVS [73.13%]+CM 30/1 [26.87%],,,,TN-850,23.99,0.77
KNIT,Top,"R/T(50/50) (O-TYPE 50%) MVS[73.13%], CM[26.87%]","R/T(50/50) (O-TYPE 50%) MVS 40'S/1[73.13%], CM30'S/1[26.87%]",,,,TN-851,24.293,0.86
KNIT,Outer,"CM[46.42%], TC(65/35) (O-TYPE 65%) MVS[43.77%], ISCRA[9.81%]",CM10'S/1[46.42%]+TC(65/35) (O-TYPE 65%) MVS 30'S/1[43.77%]+ISCRA50D/24F/1[9.81%],,,,TN-394,24.646,1.11
KNIT,Top,C/W(90/10)[100%] ,C/W30'S/1(90/10)[100%] ,,,,TN-534,16.111,0.49
KNIT,Outer,"T/W(90/10)[63.1%], CM[36.9%]",T/W30'S/1(90/10)[63.1%]+CM10'S/1[36.9%],,,,TN-820,32.323,1.03
KNIT,Outer,"CM[43.7%], T/W(90/10)[40.64%], ISCRA-S[15.66%]",CM10'S/1[43.7%]+T/W30'S/1(90/10)[40.64%]+ISCRA-S75D/24F/1[15.66%],,,,TN-310,31.212,1.18
KNIT,Outer,"C/W(90/10) MVS[49.74%], TC(65/35)[35.56%], POLYESTER[14.7%]",C/W(90/10) MVS 30'S/1[49.74%]+TC(65/35) 16'S/1[35.56%]+P75D/36F/1 DTY[14.7%],,,,TN-722,27.576,1.04
KNIT,Top,"RAYON SIRO[46.47%], A/R(60/40) SIRO[46.47%], BSY[7.06%]",R SIRO 40'S/1[46.47%]+A/R(60/40) SIRO 40'S/1[46.47%]+BSY30D[7.06%],,,,TN-1113A,20.404,0.58
KNIT,Outer,CVC 40/1 (60/40) + DTY 65D/144F/1 HSC[14.3%] + CM 20/1,,,,,TN-679,24.697,1.15
KNIT,Outer,"CVC(60/40)[45%], VPEPVA[40.5%], ISCRA[14.5%]",CVC(60/40)10'S/1[45%]+VPEPVA30'S/1[40.5%]+ISCRA-S75D/24F[14.5%],,,,TN-117_n,32.222,1.15
KNIT,Outer,"CM[44.95%], CM[41.26%], ISCRA-S[13.79%]",CM10'S/1[44.95%]+CM30'S/1[41.26%]+ISCRA-S75D/24F[13.79%],,,,TN-439,37.374,1.7
KNIT,Outer,"CVC(50/50) (AIR FIT 10%) MVS[77.16%], CM[22.84%]",CVC(50/50) (AIR FIT 10%) MVS 30'S/1[77.16%]+CM20'S/1[22.84%],,,,TN-289,25.354,0.98
KNIT,Top,"POLYESTER/CUPRA(AIR FIT 20%, CUPRA 24%) MVS[100%] ","P/CUPRA(AIR FIT 20%, CUPRA 24%) MVS 30'S/1[100%] ",,,,TN-690,22.02,0.65
KNIT,Top,"CVC(50/50) (AIR FIT 10%) MVS[71.71%], POLYESTER[28.29%]",CVC(50/50) (AIR FIT 10%) MVS 30'S/1[71.71%]+P75D/36F/1 DTY[28.29%],,,,TN-11,21.01,0.59
KNIT,Top,T/C(65/35) (AIR FIT 10%) MVS[100%] ,T/C(65/35) (AIR FIT 10%) MVS 30'S/1[100%] ,,,,TN-21,18.232,0.7
KNIT,Top,CVC(50/50) (AIR FIT 10%) MVS/POLYESTER(48.50%) (402 T/M)[100%] ,CVC(50/50) (AIR FIT 10%) MVS 30'S/1 / P(48.50%) 30'S/1(402 T/M)[100%] ,,,,TN-116,18.384,0.62
KNIT,Top,T/C(65/35) (AIR FIT 10%) MVS[100%] ,T/C(65/35) (AIR FIT 10%) MVS 30'S/1[100%] ,,,,TN-229_y,14.444,0.53
KNIT,Top,CVC(50/50) (AIR FIT 10%) MVS[100%] ,CVC(50/50) (AIR FIT 10%) MVS 30'S/1[100%] ,,,,TN-231,13.485,0.52
KNIT,Top,VPEPVA(85/15)[100%] ,VPEPVA(85/15) 30'S/1[100%] ,,,,TN-64,13.434,0.44
KNIT,Top,VPEPVA(85/20)[100%] ,VPEPVA(85/20) 30'S/1[100%] ,,,,TN-211,12.02,0.41
KNIT,Top,T/C(65/35) (LM FIT 5%) HUVIS[100%] ,T/C(65/35) (LM FIT 5%) HUVIS 30'S/1[100%] ,,,,TN-140,16.313,0.53
KNIT,Top,CVC(50/50) (LM FIT 5%) HUVIS[100%] ,CVC(50/50) (LM FIT 5%) HUVIS 30'S/1[100%] ,,,,TN-145,15.859,0.53
KNIT,Top,POLYESTER(LM FIT 5%)[100%] ,P30'S/1(LM FIT 5%)[100%] ,,,,TN-071,15.556,0.44
KNIT,Top,VISCOSE RAYON(HIGH STRENGTH)[100%] ,R30'S/1(HIGH STRENGTH)[100%] ,,,,TN-716,14.545,0.47
KNIT,Top,T/R(65/35) (HIGH STRENGTH)[100%] ,T/R(65/35)30'S/1 (HIGH STRENGTH)[100%] ,,,,TN-718,14.141,0.45
KNIT,Top,POLYESTER[100%] ,P30'S/1 SLUB[100%] ,,,,TN-60,14.596,0.48
KNIT,Top,POLYESTER[100%] ,P30'S/1 FD SLUB[100%] ,,,,TN-61,13.232,0.46
KNIT,Top,MICRO POLYESTER[100%] ,MICRO P40'S/1 FD SLUB[100%] ,,,,TN-001,11.667,0.43
KNIT,Top,"TTK[57.5%], POLYESTER[42.5%]",TTK85D/72F SD[57.5%]+P75D/72F DTY[42.5%],,,,TN-206,16.869,0.57
KNIT,Top,"POLYESTER[38.52%], T/C/R(50/37/13)[34.55%], POLYESTER[26.93%] ",P10'S/1[38.52%]+T/C/R30'S/1(50/37/13)[34.55%]+P30'S/1[26.93%],,,,TN-283,33.737,1
KNIT,Top,C/T/R(55/34/11)[100%] ,C/T/R30'S/1(55/34/11)[100%] ,,,,TN-241,13.939,0.55
KNIT,Outer,"CVC(60/40)[38.4%], C/T/R(55/34/11)[33.8%], CM[27.8%]",CVC10'S/1(60/40)[38.4%]+C/T/R30'S/1(55/34/11)[33.8%]+CM30'S/1[27.8%],,,,TN-284,34.444,1.26
KNIT,Top,"CM(TRANSDRY)[50%], CM[50%]",CM40'S/2(402T/M)(TRANSDRY)[50%]+CM40'S/2(402T/M)[50%],,,,TN-706,22.222,0.85
KNIT,Top,"CM[59%], CM(TRANSDRY)[21%], CM[20%]",CM20'S/1[59%]+CM30'S/1(TRANSDRY)[21%]+CM30'S/1[20%] ,,,,TN-743,22.727,0.79
KNIT,Top,"POLYESTER(MELANISM 5%) MVS[60.41%], VPE[37.5%], BSY[2.09%]",P(MELANISM 5%) MVS 30'S/1[60.41%]+VPE30'S/1[37.5%]+BSY30D[2.09%],,,,TN-249,20.556,0.61
KNIT,Top,TC 30/1 (65/35) (MELANISM 15%) MVS + DTY 150D/48F/1 (CD 100%) + DTY 75D/72F/1 (CD 100%),,,,,TN-300,25.303,0.71
KNIT,Outer,"CVC(55/45) (MELANISM 15%) MVS[54.88%], CVC(60/40)[33.99%], POLYESTER[11.13%]",CVC(55/45) (MELANISM 15%) MVS 20'S/1[54.88%]+CVC(60/40) 10'S/1[33.99%]+P75D/36F/1 DTY[11.13%],,,,TN-307,28.939,1.09
KNIT,Top,"POLYESTER(AIR FIT 15%, MELANISM 5%) MVS[100%] ","P(AIR FIT 15%, MELANISM 5%) MVS 30'S/1[100%] ",,,,TN-352,13.687,0.43
KNIT,Top,POLYESTER(MELANISM 15%) MVS[100%] ,P(MELANISM 15%) MVS 40'S/1[100%] ,,,,TN-138,17.121,0.62
KNIT,Top,CVC(55/45) (MELANISM 5%) MVS[100%] ,CVC(55/45) (MELANISM 5%) MVS 30'S/1[100%] ,,,,TN-184,16.717,0.53
KNIT,Top,POLYESTER(MELANISM 5%) MVS[100%] ,P(MELANISM 5%) MVS 30'S/1[100%] ,,,,TN-424,15.859,0.46
KNIT,Top,"T/C(65/35) (Melanism 15%) MVS[50%], CM[50%]",T/C(65/35) (Melanism 15%) MVS 20'S/1[50%]+CM20'S/1 SLUB[50%],,,,TN-067,19.242,0.62
KNIT,Top,"POLYESTER/CUPRA(AIR FIT 20%, CUPRA 24%) MVS[100%] ","P/CUPRA(AIR FIT 20%, CUPRA 24%) MVS 20'S/1[100%] ",,,,TN-709,20.909,0.71
KNIT,Top,T/R(65/35) MVS[100%] ,T/R(65/35) MVS 30'S/1[100%] ,,,,TN-708,15.101,0.5
WOVEN,Top,"NYLON 93%, POLYURETHANE 7%",N20D*N40D+SP20D,,,,CYSYR-630-1,7.929,0.27
WOVEN,Active,NYLON 100%,N20D*N20D,,,,CYS01,3.687,0.08
WOVEN,Top,NYLON 100%,N20D*N20D,,,,CYS05,4.899,0.1
WOVEN,Top,NYLON 100%,N40D*N40D,,,,CYS06,6.566,0.19
WOVEN,Top,NYLON 100%,N40D*N41D,,,,CYS07,6.263,0.17
WOVEN,Top,NYLON 100%,N40D*N42D,,,,CYS08,7.576,0.19
WOVEN,Top,"POLYESTER 90%, POLYURETHANE 10%",,,,,CYS20,11.97,0.31
WOVEN,Top,"NYLON 77%, COTTON 23%",N/NC80'S,,PLAIN,"PD, WR",37,8.131,0.22
WOVEN,Top,"NYLON 54%, COTTON 42%, POLYURETHANE 4%",N/NC80'S SPAN,,,"PD, 유연",42,6.162,0.2
WOVEN,Top,"COTTON 52%, RAYON 33%, LINEN 15%",,,DOBBY,"PD, 유연",72,12.778,0.43
WOVEN,Top,"COTTON 58%, NYLON 36%, POLYURETHANE 6%",C/N50'S,,,"BIO, PD, 유연",75,11.717,0.3
WOVEN,Outer,POLYESTER 100%,,,SATIN,"PD, WR",93,19.141,0.33
WOVEN,Outer,,,,,,SOF_20ss_스커트01-PINK,22.323,0.64
WOVEN,Top,,,,,,SOF_20ss_스커트01-SKY,15.96,0.4
WOVEN,Top,,,,,,SOF_20ss_스커트02,17.172,0.42
KNIT,Outer,,,,,,SOF_20ss_맨투맨01,28.131,0.8
KNIT,Top,,,,,,SOF_20ss_티셔츠1-1-SKY,20.657,0.54
KNIT,Top,,,,,,SOF_20ss_티셔츠1-1-YELLOW,21.162,0.56
KNIT,Top,,,,,,SOF_20ss_티셔츠1-2,21.414,0.55
KNIT,Top,,,,,,SOF_20ss_티셔츠02,20.253,0.58
WOVEN,Outer,NYLON 48% COTTON 52%,"N/F 210D SD X 2PLY , CM 20's X 2PLY",52*43,OXFORD,"PEACH, WR, Pu, A/WS",NC 210D OXFORD SD,19.141,0.46
WOVEN,Outer,POLYESTER 100%,P75 FD DTY * P150 FD DTY 2P,130*53,,"PD, WR, Pu",FD POSLAN,12.475,0.27
WOVEN,Outer,NYLON 100%,N70D FD * N160D FD ATY,160*72,,"WR, PU",SUPPLEX PU,10.505,0.25
KNIT,Outer,POLYESTER 96% POLYURETHANE 4%,,,,,AMS-7048,27.475,0.85
KNIT,Outer,POLYESTER 97% POLYURETHANE 3%,,,,side fleece (heather fleece),AMS-7048A,30,0.92
KNIT,Outer,POLYESTER 97% POLYURETHANE 3%,,,,fleece,AMS-7048S,30.606,1.02
KNIT,Outer,POLYESTER 91% POLYURETHANE 9%,,,,Spacer fabric with heather,AMS-8189,28.434,1.18
KNIT,Outer,"앞면: POLYESTER 84% POLYURETHANE 16%, 뒷면: POLYESTER 100%",,,jacquard,bonding finish,AMS-8261,36.869,1.83
KNIT,Outer,NYLON 95% POLYURETHANE 5%,,,"DOUBLE, JACQUARD","BRUSHING, COMB, FLEECE, DOUBLE DYE",F9398,29.646,1.18
KNIT,Outer,POLYESTER 100%,,,,,ST-170060,30.758,1.05
WOVEN,Active,NYLON 100%,N/F 30D BRT * N/F 43D BRT + N/F 70D BRT 2PLY,,,"PD, WR, SILICONE CIRE",SB-CN30 BRT,5,0.15
WOVEN,Active,NYLON 100%,N15D * N15D,204*204,,"GH, WR, PU, 실리콘",SB-FB 400,3.737,0.12
WOVEN,Active,NYLON 100%,N/F 20 BRT * N/F 20 BRT + N/F 70SD,205*175,,SPY SILVER,SB-HK S105S,4.899,0.11
WOVEN,Active,NYLON 91% POLYURETHANE 9%,N30D FD * N30D FD + PU20,212*132,,"PD, WR",SB-H7013,6.717,0.2
WOVEN,Active,NYLON 87% POLYESTER 13%,NF/20D SD + NP80 ITY SD * N/F 20D SD + NP80 ITY SD,226*160,Ripstop,"WR, Tpu",SB-I2080 R/S Tpu,7.172,0.2
WOVEN,Active,POLYESTER 100%,P DTY 30 SD * P DTY 30D (고신축),190*152,STELLA,"PD, WR, Pu",SB-P30 STELLA,5.505,0.18
WOVEN,Active,NYLON 100%,N15 DTY SD * N15 DTY SD,242*218,Ripstop,"PD, WR, Pu",SB-SAM RIS,4.343,0.12
WOVEN,Active,NYLON 100%,N/F 10 BRT * N/F 10 BRT,242*236,,"PD, WR, SILICONE",SB-SH 1992,2.576,0.05
WOVEN,Active,POLYESTER 100%,P/F 75/48 FD DTY(MS) * P/F 75/48 FD DTY(MS),140*142,,"PD, WR",SB-UQ75FD,11.061,0.35
WOVEN,Active,NYLON 100%,N/F 20D SD * N/F 20D SD,215*178,,"WR, DOWN PROOF, CIT",SB-YF 25,3.788,0.08
WOVEN,Active,NYLON 45% COTTON 55%,P/F 70D FD * CM 30S,194*97,TWILL,"PD, WR",NC 30's 1/3 TWILL FD-3,13.586,0.29
WOVEN,Active,NYLON 100%,N/F 20FD * N/F 45/48 FD ATY (REGEN),230*170,,"PD, WR, WS+A/WS",NEW 2045 TASLAN,6.061,0.17
WOVEN,Active,NYLON 100%,N/F 40FD DTY * N/F 40FD DTY 66,160*114,,"PD, WR",A44PL,5.909,0.19
WOVEN,Active,POLYESTER 100%,P/DTY50D 잠재권축사*P/DTY50D 잠재권축사,164*138,,"PD, WR",H4410,9.646,0.31
WOVEN,Active,NYLON 90% POLYURETHANE 10%,N50+PU20 * N50+PU20+N75 (중공사),,,"PD, WR",NA5005,11.768,0.36
WOVEN,Active,NYLON 100%,N/F 20FD * N/F 20FD,178*170,,"PD, WR, DP, C/T",FD 410T,3.737,0.08
WOVEN,Active,NYLON 66% POLYESTER 34%,N/F 30/34 FD * NPI 50*44 SD,168*126,,"PD, WR, DP, CT",R1602 DP,5.202,0.1
KNIT,Active,NYLON 90% POLYURETHANE 10%,,,,,AMS-8794,20.859,0.53
KNIT,Outer,NYLON 49% POLYESTER 43% POLYURETHANE 8%,,129*200,,,SFY392,21.364,0.79
WOVEN,Top,NYLON 29% COTTON 71%,N/F 70D SD * CM 20'S,114*70,PLAIN,WR,NC 20 PLAIN,11.818,0.28
WOVEN,Top,COTTON 47% POLYESTER 33% WOOL 20%,,98*80,,2-SIDE BRUSH,CB204415-101,14.293,0.42
WOVEN,Outer,,,,,,1. 25리,22.98,0.49
WOVEN,Outer,,,,,,2. 40리,17.879,0.41
WOVEN,Outer,,,,,,4. 40리 TM,18.687,0.49
WOVEN,Outer,,,,,,8. 모시,8.838,0.32
WOVEN,Outer,,,,,,11. 깐졸리,15,0.36
WOVEN,Outer,,,,,,16. 60'S 사틴,14.545,0.3
WOVEN,Outer,,,,,,17. 엘레강수82(크레이프),7.576,0.31
WOVEN,Outer,,,,,,18. 모모,33.081,1.6
WOVEN,Outer,,,,,,19. 헤어지지미,45,1.83
WOVEN,Outer,,,,,,20. 브리티쉬,48.384,1.85
WOVEN,Outer,,,,,,21. 멜버른,50.505,1.98
WOVEN,Outer,,,,,,22. 헤어글렌,27.121,1.06
WOVEN,Outer,,,,,,23. 타마시,45.556,2.25
KNIT,Outer,,,,,,26. 71701 (이중저지),21.414,0.83
KNIT,Outer,,,,,,28. 30수 스판 양면피치,33.232,1.04
KNIT,Outer,,,,,,블러썸쮸리,43.889,1.3
KNIT,Outer,,,,,,슈프림싱글,37.071,0.8
KNIT,Outer,,,,,,스너그,25.758,0.97
KNIT,Outer,,,,,,아크네쮸리,43.687,1.31
KNIT,Outer,,,,,,에로우인터록,41.364,1.03
KNIT,Outer,,,,,,조이3단쮸리,38.434,1.38
KNIT,Outer,,,,,,챔피온쮸리,35.909,1.31
WOVEN,Outer,,,,,,10.오가닉 60's,12.273,0.29
WOVEN,Outer,,,,,,12. 쿨스판,16.162,0.33
WOVEN,Outer,,,,,,13. 민들레,13.687,0.47
WOVEN,Outer,,,,,,14. 크리즈인견,8.485,0.22
WOVEN,Outer,,,,,,15.몬테스코팅,6.364,0.17
WOVEN,Outer,,,,,,24.진흙,7.677,0.21
WOVEN,Outer,,,,,,25.서랑,7.172,0.2
KNIT,Active,,,,,,27. 오가닉코튼 60수,15.606,0.52
KNIT,Active,,,,,,리즈싱글,8.687,0.39
KNIT,Active,,,,,,마들렌스판,15.455,0.55
KNIT,Active,,,,,,아델후라스판,23.283,0.86
KNIT,Active,,,,,,아토믹60스판,16.414,0.5
KNIT,Active,,,,,,아토믹60싱글,9.242,0.38
KNIT,Active,,,,,,애플스판,16.717,0.54
WOVEN,Outer,,,,,,3. 60리,13.232,0.35
WOVEN,Outer,,,,,,5. 60리 TM,12.677,0.41
WOVEN,Outer,,,,,,6. 라미60NM,8.788,0.25
WOVEN,Outer,,,,,,9. 엘레강스44,9.343,0.27
KNIT,Top,,,,,,셀린,17.071,0.58
KNIT,Top,,,,,,스투시20싱글,20.404,0.57
KNIT,Top,,,,,,아델스판,14.242,0.59
KNIT,Top,,,,,,아토믹40싱글,15.404,0.53
KNIT,Top,,,,,,애플30싱글,14.697,0.48
KNIT,Top,,,,,,애플골지스판,21.717,0.67
KNIT,Top,,,,,,조이20싱글,18.788,0.61
KNIT,Top,,,,,,조이30싱글,18.788,0.54
