원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Active,"RAYON 46%, COTTON 20%, POLYESTER 28%, POLYURETHANE 6%",,,,,AS-505,14.949,0.46
KNIT,Active,,,,,,AQX70/68 SP20,16.162,0.46
KNIT,Active,,,,,,75/72 SP20,15.202,0.5
KNIT,Active,"NYLON 80%, POLYURETHANE 20%",,,,,FD-4128,20.455,0.55
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN128,20.505,0.56
KNIT,Active,"POLYESTER 82%, POLYURETHANE 18%",,,,,AK-2133 (L),22.222,0.54
KNIT,Active,"POLYESTER 74%, POLYURETHANE 26%",,,,,DT-2135,23.586,0.61
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN513,25.606,0.68
KNIT,Outer,"NYLON6 77%, POLYURETHANE 23%",,,,,15033A,27.374,0.64
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN246-2,30.404,0.77
KNIT,Outer,"NYLON 85%, POLYURETHANE 15%",,,,,NY ATY SP70,32.576,0.8
KNIT,Active,"POLYESTER 90%, POLYURETHANE 10%",,,,,TN239-4,29.343,0.63
KNIT,Active,"POLYESTER 85%, POLYURETHANE 15%",,,,,14123A,31.061,0.78
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SP-8075P,14.394,0.51
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%",,,,,SP-7193P,17.626,0.57
KNIT,Active," POLYESTER 62%, NYLON 25%, POLYURETHANE 13%",,,,,SPH-180NP,9.949,0.36
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SPH-330P,14.495,0.39
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,SJD-427P,22.222,0.73
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%",,,,,SJQ-1203P-F,13.99,0.57
KNIT,Active,"MODAL 50%, COTTON 40%, POLYURETHANE 10%",,,,,TEX-6709,18.081,0.66
KNIT,Active,"POLYESTER 53%, NYLON 35%, POLYURETHANE 12%",,,,,OP-4036NP,16.263,0.47
KNIT,Active,"NYLON 60%, POLYURETHANE 40%",,,,,OP-4017N,16.313,0.44
KNIT,Active,"NYLON 76%, POLYURETHANE 24%",,,,,DNT-4034,16.616,0.4
KNIT,Active,"NYLON 71%, POLYURETHANE 29%",,,,,DNNT-6545,20.253,0.43
KNIT,Active,"MODAL 97%, POLYURETHANE 3%",,,,,TEX-7067,25.404,0.81
KNIT,Active,"NYLON 80%, POLYURETHANE 20%",,,,WET PRINT,KIRA-110,20.455,0.59
KNIT,Active,"NYLON 61%, POLYURETHANE 39%",,,,WET PRINT,12F115,24.747,0.67
KNIT,Active,"NYLON 81%, POLYURETHANE 19%",,,,WET PRINT,12F179A,19.798,0.65
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SP-8075P,13.99,0.5
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%",,,,,SP-7157P,21.111,0.67
KNIT,Active,,,,,,CDP75D SP40,15.455,0.54
KNIT,Outer,"POLYESTER 52%, PTT 48%",,,,,SMKW-5084-105,22.071,0.66
KNIT,Active,"NYLON 75%, POLYURETHANE 25%",,,,,DNT-6645,16.919,0.41
KNIT,Outer,"POLYESTER 52%, PTT 48%",,,,,SMKW-5084-108,21.465,0.53
WOVEN,Top,,,,,,,6.667,0.24
WOVEN,Top,"COTTON 70%, POLYESTER 30%",,,,,SI-4651/T,10.505,0.26
WOVEN,Top,COTTON 100%,C50'S,123*93,,,SFT-WLL-010-009,9.697,0.34
WOVEN,Top,"MODAL 72%, POLYESTER 28%",,,,,V4062-1,10.96,0.29
WOVEN,Top,COTTON 100%,,,,DYED,오가닉 60수 솔리드,6.919,0.24
WOVEN,Top,COTTON 100%,C60'S,140*140,,,SFT-WKG-009-008,10.253,0.22
WOVEN,Top,POLYESTER 100%,,,,,JWPS226,8.384,0.26
WOVEN,Top,POLYESTER 100%,,,,,BPTS-PE14184P,11.162,0.35
WOVEN,Top,"COTTON 85%, LINEN 15%",21L/C*40'S,68*66,,,SFT-WLL-015-003,11.717,0.33
WOVEN,Top,CUPRA 100%,,,,,SJ-732,9.343,0.21
WOVEN,Top,,,,PLAIN,CREPE ,CJ-510,14.848,0.41
WOVEN,Top,"MODAL 70%, POLYESTER 30%",MICRO MO40'S*P75D,160*96,1/2 TWILL WITH STRETCH,SANFORIZING FINISH,BPTS-PN12094,14.848,0.41
WOVEN,Top,VISCOSE RAYON 100%,,,,,V5767,13.99,0.28
WOVEN,Top,,,,,,TB-2901-1,14.141,0.36
WOVEN,Top,POLYESTER 100%,,,,,HN 2704 W/S,12.222,0.33
WOVEN,Top,"ACETATE 76%, POLYESTER 24%",,,,,TD 0172,15.657,0.47
WOVEN,Top,POLYESTER 100%,,,,"UV BLOCKING COOL FEELING, QUICK ABSORPTION & FAST DRYING",NOBLE 1048 DS PRINT 2,19.949,0.48
WOVEN,Top,"ACETATE 71%, POLYESTER 29%",,,,4PLY CREPE ,578077,21.01,0.6
WOVEN,Top,"ACETATE 65%, POLYESTER 35%",,,,,TD0243,20.101,0.56
WOVEN,Top,"ACETATE 79%, POLYESTER 21%",,,,,578033,22.323,0.59
WOVEN,Top,POLYESTER 100%,,,,,TMK5500,24.444,0.64
WOVEN,Top,"MODAL 80%, SILK 20%",,,,,150310-2,5.758,0.21
WOVEN,Top,"COTTON 62%, POLYESTER 38%",,,,,DSS-07,7.576,0.37
WOVEN,Top,"WOOL 94%, SILK 6%",,,,,160302,12.929,0.51
WOVEN,Top,"ACETATE 78%, POLYESTER 22%",,,,,D0770,28.737,0.65
WOVEN,Top,"ACETATE 76%, POLYESTER 24%",,,,,577390,23.737,0.56
KNIT,Top,"POLYESTER 65%, RAYON 35%",,,,"SOLID REACTIVE DYE, SPRAY WASHING",DN-J03568-SR02,12.071,0.45
KNIT,Top,"POLYESTER 51%, COTTON 49%",,,,"SOLID DISPERSE DYE, TENTERING",DN-J03551-SD01,17.879,0.63
KNIT,Top,"MODAL 50%, POLYESTER 45%, LINEN 5%",,,,,TEX-6001,14.444,0.5
KNIT,Top,"COTTON 60%, CLY 40%",,,,,TF-23400A,18.03,0.61
KNIT,Top,"RAYON 67%. ACRYL 29%, POLYURETHANE 4%",,,,"SOLID REACTIVE DYE, SETTING + TENTERING + COMPACT",DN-J53500-SR32,15.152,0.61
